company_name,abbr,default_currency,country,domain,notes
"Dank Mushrooms, LLC",DML,USD,United States,Manufacturing,"Create checking, savings, and withholding bank accounts after company import."
Rooted Psyche,RP,USD,United States,Non Profit,Create one operating bank account now; add others later as needed.
